city_code;da_name;da_population;da_surface_ha;dvf_nbtrans_residential;dvf_pxm2_median_residential;dvf_surface_median_residential;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain
01290;Pérouges;1387;1932.3;20;3077;100;13;3012;9;3487;115;77;9;350;420
01291;Perrex;869;1119.19;19;2234;95;19;2234;0;;95;;16;96;718
01293;Peyriat;153;610.7;5;2717;92;7;1911;1;3667;93;60;1;2;1856
01294;Peyrieu;940;1414.28;22;2297;91;21;2314;2;3283;90;110;7;148;404
01295;Peyzieux-sur-Saône;654;867.65;16;2607;92;14;2393;5;2916;97;82;0;;
01296;Pirajoux;397;1303.98;5;1834;94;5;1834;0;;94;;1;64;590
01297;Pizay;937;1122.3;13;2848;102;13;2848;1;3458;102;83;7;300;529
01298;Plagne;159;605.52;5;2880;102;5;2880;0;;102;;0;;
01299;Le Plantay;559;2077.03;15;2178;102;13;2262;3;1900;106;100;4;343;524
01301;Polliat;2741;2024.57;85;2328;100;74;2345;17;1919;109;68;27;150;512
01302;Pollieu;167;364.81;6;1846;104;6;1846;0;;104;;0;;
01303;Poncin;1803;1992.21;48;1709;87;42;1813;6;1088;85;109;7;101;553
01304;Pont-d'Ain;2843;1123.61;90;2197;86;67;2308;23;1944;92;71;8;141;812
01305;Pont-de-Vaux;2204;775.66;84;1775;83;48;1802;36;1715;94;69;3;65;998
01306;Pont-de-Veyle;1594;195.67;40;1986;81;17;2238;23;1667;96;66;0;;
01307;Port;832;428.83;20;2059;67;10;2054;13;2118;105;48;2;691;581
01308;Pougny;871;757.23;36;3292;109;30;3250;6;3532;109;105;8;329;704
01309;Pouillat;77;641.24;4;1641;86;4;1641;0;;86;;0;;
01310;Prémeyzel;244;762.42;6;1231;135;6;1231;0;;135;;0;;
01311;Prémillieu;49;850.66;6;1480;82;6;1480;1;3067;82;30;0;;
01313;Prévessin-Moëns;9153;1208.95;322;5391;87;134;5622;188;5244;126;71;14;674;617
01314;Priay;1842;1573.54;57;2500;95;48;2487;9;2500;98;58;7;403;124
01317;Ramasse;336;958.55;16;1814;98;16;1814;0;;98;;1;84;666
01318;Rancé;775;959.54;15;2478;114;14;2673;1;1639;117;72;9;346;460
01319;Relevant;465;1236.37;9;3108;111;9;3108;1;12500;111;24;1;88;869
01320;Replonges;3956;1668.17;74;2417;93;61;2436;13;1967;96;60;22;103;803
01321;Revonnas;915;778.2;17;1993;123;16;1996;8;1458;125;71;7;385;1014
01322;Reyrieux;5358;1569.79;87;3486;109;79;3500;8;2962;110;79;16;404;435
01323;Reyssouze;996;962.87;26;2161;97;26;2161;2;2040;97;78;9;454;452
01325;Rignieux-le-Franc;1180;1509.69;18;3223;90;18;3223;0;;90;;14;308;398
01328;Romans;640;2210.3;16;2627;86;10;2567;6;3563;88;45;1;0;3360
01329;Rossillon;166;807.91;12;1508;72;12;1508;1;854;72;48;0;;
01331;Saint-Alban;195;822.56;7;1148;104;7;1148;0;;104;;0;;
01332;Saint-André-de-Bâgé;841;271.49;19;2545;101;19;2545;0;;101;;13;236;327
01333;Saint-André-de-Corcy;3370;2097.6;69;3524;89;46;3456;23;3701;102;60;19;637;400
01334;Saint-André-d'Huiriat;667;906.81;17;2373;115;17;2373;1;2200;115;50;9;58;773
01335;Saint-André-le-Bouchoux;409;929.76;9;2412;115;9;2412;1;2108;115;102;2;206;579
01336;Saint-André-sur-Vieux-Jonc;1229;2453.61;24;2461;90;19;2481;6;2166;97;65;18;165;561
01337;Saint-Bénigne;1359;1648.39;28;1930;103;28;1930;0;;103;;24;68;818
01338;Groslée-Saint-Benoit;1227;2868.44;31;1875;102;30;1847;2;2169;104;112;5;30;929
