city_code;da_name;da_population;da_surface_ha;dvf_nbtrans;dvf_pxm2_median;dvf_surface_median;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain;anct_part_actifs_transports_en_commun_2022;anct_taux_annuel_evol_population_2016_2022
19031;Brive-la-Gaillarde;47095;4864.75;2755;1915;71;1289;1959;1466;1894;90;56;172;44;647;5.1;-0.08
19033;Bugeat;719;3115.98;51;923;76;43;917;8;979;78;53;9;3;256;1.5;-1.59
19034;Camps-Saint-Mathurin-Léobazel;206;3409.09;9;1172;75;9;1172;0;;75;;7;3;466;1;-2.36
19035;Chabrignac;542;1099.98;31;1333;80;30;1292;1;2500;80;64;19;8;1793;0.5;-1.69
19036;Chamberet;1433;7051.56;75;1250;74;74;1245;6;939;74;58;13;6;553;2.4;0.66
19037;Chamboulive;1155;4721.55;50;1368;81;49;1379;4;1002;82;58;18;6;1181;0.9;-0.65
19038;Chameyrat;1481;1933.89;30;1515;90;30;1515;0;;90;;9;3;491;0.7;-0.65
19039;Champagnac-la-Noaille;237;2600.42;14;1450;82;14;1450;1;1727;82;55;5;4;787;0;-0.64
19040;Champagnac-la-Prune;150;1328.69;9;1333;74;9;1333;0;;74;;5;7;1215;1.9;-1.38
19041;Chanac-les-Mines;437;1314.6;19;1325;100;19;1325;0;;100;;6;6;199;0;-3.11
19042;Chanteix;596;1938.87;17;1591;101;17;1591;0;;101;;12;7;1290;0.3;0.38
19043;La Chapelle-aux-Brocs;448;500.66;15;2182;100;15;2182;0;;100;;6;7;1650;2.1;1.53
19044;La Chapelle-aux-Saints;257;493.19;7;1250;62;7;1250;0;;62;;9;2;190;0;0.06
19045;La Chapelle-Saint-Géraud;196;1755.94;6;1111;85;6;1111;0;;85;;8;10;731;1.2;-0.42
19046;Chapelle-Spinasse;114;594.68;4;1383;52;4;1383;0;;52;;6;9;679;0;-0.44
19047;Chartrier-Ferrière;373;1551.46;18;1861;71;17;1844;1;2836;71;70;6;11;1057;0;0.45
19048;Le Chastang;349;794.91;7;1453;120;6;1435;2;2931;128;41;11;3;3116;0.7;-1.06
19049;Chasteaux;754;1869.92;23;1851;100;23;1851;0;;100;;16;13;1576;0.8;-0.53
19050;Chauffour-sur-Vell;408;732.32;8;2158;101;7;1963;1;3500;108;30;7;8;3448;0;-0.36
19051;Chaumeil;164;3164.34;10;881;104;10;881;1;2580;104;50;4;2;255;0;1.15
19052;Chavanac;52;974.99;7;912;100;7;912;0;;100;;6;7;1372;7.1;-0.99
19053;Chaveroche;268;1851.98;6;1066;140;6;1066;0;;140;;8;16;1478;0;3.76
19054;Chenailler-Mascheix;215;1549.72;8;1514;83;7;1385;1;2619;87;75;8;4;2688;0;0.72
19055;Chirac-Bellevue;272;2060.95;10;1139;99;10;1139;0;;99;;4;5;1546;0;-0.82
19056;Clergoux;408;1583.7;18;1300;75;18;1300;1;1227;75;65;6;8;1351;1.3;-0.16
19057;Collonges-la-Rouge;478;1411.39;16;2553;79;16;2553;0;;79;;14;12;2317;0.5;-0.34
19058;Combressol;386;2542.33;13;1333;96;13;1333;0;;96;;5;4;645;0;1.7
19059;Concèze;376;1350.43;9;1238;90;9;1238;0;;90;;4;7;3529;1.2;-1.64
19060;Condat-sur-Ganaveix;643;3776.5;26;1391;76;26;1391;2;1028;76;67;6;7;2123;0.9;-0.41
19061;Cornil;1261;1976.07;35;1260;80;29;1316;8;772;85;62;11;9;1978;5.2;-1.08
19062;Corrèze;1171;3467.68;44;1205;91;39;1185;5;1233;94;54;20;10;581;0.7;0.68
19063;Cosnac;3044;2030.89;78;2057;98;67;2143;11;1117;105;67;28;8;1945;1.8;0.32
19064;Couffy-sur-Sarsonne;72;1415.55;3;1486;74;3;1486;0;;74;;1;1;1440;0;-1.55
19065;Courteix;63;1019.52;2;1830;88;2;1830;0;;88;;1;3;3656;0;0
19066;Cublac;1728;2053.17;90;1459;81;74;1585;16;1213;95;51;26;13;1370;0.1;0.55
19067;Curemonte;219;873.45;8;2824;60;7;2780;1;3547;63;30;6;4;1174;2;0.31
19068;Dampniat;716;1543.7;23;1581;73;20;1565;5;2308;79;50;11;6;1360;0.6;-0.82
19069;Darazac;154;1468.93;9;1011;90;9;1011;0;;90;;5;5;980;0;0.96
19070;Darnets;303;2580.62;13;1418;96;13;1418;0;;96;;8;3;587;0;-2.51
19071;Davignac;235;3007.33;8;904;93;8;904;0;;93;;2;2;746;1.2;1.51
